date,spx_close,spx_divy,rfr_1m,ivol25dput,ivol25dcall,rfr_3m,iv_90,iv_95,iv_97_5
39084,1416.6,1.83,5.32063,12.0835,9.13629,5.36,17.5508,14.8412,13.4958
39085,1416.6,1.83,5.32,11.0846,8.96243,5.36,17.5508,14.8412,13.4958
39086,1418.34,1.84,5.32,10.3459,8.1533,5.36,17.2632,14.6028,13.2489
39087,1409.71,1.85,5.32,11.3409,9.01865,5.36,17.395,14.7787,13.5102
39090,1412.84,1.84,5.32,10.9645,8.97872,5.36,17.4832,14.8392,13.5316
39091,1412.11,1.84,5.32,11.046,9.0925,5.36,17.4432,14.7818,13.4834
39092,1414.85,1.84,5.32,9.89543,8.47538,5.36,17.063,14.4171,13.1423
39093,1423.83,1.83,5.32,9.33489,7.78625,5.36,16.5533,14.0406,12.7508
39094,1430.73,1.82,5.32,7.27349,7.28005,5.36,16.3798,13.7842,12.4787
39098,1431.9,1.82,5.32,10.6194,7.89184,5.36,16.4429,13.8224,12.538
39099,1430.62,1.82,5.32,10.4611,7.50963,5.36,16.3708,13.6916,12.4145
39100,1426.37,1.83,5.32,9.83907,6.46819,5.36,16.4361,13.7656,12.4554
39101,1430.5,1.83,5.32,10.278,7.62288,5.36,16.2187,13.4278,12.1168
39104,1422.96,1.84,5.32,10.7416,7.83143,5.36,16.2327,13.6729,12.3733
39105,1427.99,1.83,5.32,10.1421,7.40195,5.36,15.9936,13.2026,11.8552
39106,1440.13,1.82,5.32,9.5598,7.02697,5.36,15.4943,12.7857,11.4525
39107,1423.9,1.84,5.32,11.2219,8.19105,5.36,16.1062,13.4636,12.1746
39108,1422.18,1.84,5.32,10.8565,8.17238,5.36,16.0943,13.4633,12.1771
39111,1420.62,1.84,5.32,11.2829,8.63242,5.36,16.1448,13.6035,12.3379
39112,1428.82,1.83,5.32,10.6561,8.1154,5.36,15.8899,13.2967,12.0265
39113,1438.24,1.81,5.32,9.91744,7.61119,5.36,15.6014,13.0087,11.7127
39114,1445.94,1.81,5.32,9.66932,7.5133,5.36,15.5106,12.9195,11.636
39115,1448.39,1.81,5.32,9.08159,7.18771,5.36,15.3772,12.8031,11.5424
39118,1446.99,1.81,5.32,9.51272,7.81292,5.36,15.8789,13.1806,11.8858
39119,1448,1.81,5.32,9.43128,7.18819,5.36,15.7465,13.1248,11.8338
39120,1450.02,1.81,5.32,8.78428,7.00459,5.36,15.657,13.0298,11.7205
39121,1448.31,1.81,5.32,8.6352,6.89833,5.36,15.7505,13.126,11.8275
39122,1438.06,1.82,5.32,9.6034,7.39066,5.36,16.2556,13.5813,12.2941
39125,1433.37,1.83,5.32,11.4874,9.117,5.36,16.6251,13.9248,12.6361
39126,1444.26,1.81,5.32,9.09987,7.18548,5.36,15.8331,13.1907,11.8887
39127,1455.3,1.8,5.32,8.77897,7.50934,5.36,15.5686,12.9167,11.6425
39128,1456.81,1.8,5.32,9.31551,6.92965,5.36,15.6298,12.8985,11.6335
39129,1455.54,1.8,5.32,9.98931,7.66361,5.36,15.5803,12.8757,11.5996
39133,1459.68,1.8,5.32,9.88522,7.87103,5.36,15.3151,12.8552,11.6469
39134,1457.63,1.8,5.32,9.95333,7.83851,5.36,15.4406,12.9267,11.7247
39135,1456.38,1.8,5.32,9.62033,7.84726,5.36,15.4909,13.0176,11.8086
39136,1451.19,1.8,5.32,10.0429,8.20524,5.36,15.8482,13.3658,12.1532
39139,1449.38,1.81,5.32,10.9155,8.46985,5.36,16.2053,13.6737,12.4574
39140,1399.04,1.87,5.32,20.3944,15.9283,5.36,20.2419,17.7951,16.5669
39141,1406.82,1.86,5.32,16.5017,12.6483,5.34813,18.7739,16.1555,14.8635
39142,1403.17,1.87,5.32,17.4455,12.7247,5.3475,18.9046,16.1194,14.7941
39143,1387.17,1.89,5.32,21.3319,15.103,5.34625,20.5375,17.6956,16.3257
39146,1374.12,1.91,5.31913,23.3033,16.8325,5.33,21.4663,18.5788,17.1481
39147,1395.41,1.88,5.32,17.346,12.757,5.34,19.499,16.5416,15.0955
39148,1391.97,1.89,5.32,15.9891,12.2812,5.34,19.1382,16.2982,14.8741
39149,1401.89,1.87,5.32,14.8253,11.8197,5.34,18.6161,15.7875,14.3726
39150,1402.85,1.87,5.32,13.5543,10.6154,5.34,18.7095,15.6796,14.201
39153,1406.6,1.87,5.32,13.9281,10.3991,5.355,18.2971,15.3489,13.9218
39154,1377.95,1.91,5.32,17.9474,13.0182,5.35488,20.3294,17.5008,16.1543
39155,1387.17,1.89,5.32,14.3921,11.7244,5.35,20.3336,17.3887,15.9087
39156,1392.28,1.89,5.32,16.0646,9.84223,5.35,19.9804,17.0082,15.5484
39157,1386.95,1.9,5.32,17.2719,11.5976,5.35,20.688,17.5964,16.0819
39160,1402.06,1.88,5.32,15.2998,10.2799,5.35,19.522,16.4872,14.9739
39161,1410.94,1.88,5.32,13.7266,9.21027,5.35,18.8553,15.7685,14.2532
39162,1435.04,1.84,5.32,12.2495,8.37979,5.35,17.541,14.4354,12.9254
39163,1434.54,1.85,5.32,13.0125,9.29158,5.34631,17.8397,14.7843,13.2962
39164,1436.11,1.85,5.32,12.9533,9.22521,5.34788,17.9696,14.9202,13.4381
39167,1437.5,1.85,5.32,12.9679,9.50495,5.35,17.9343,14.9135,13.4458
39168,1428.61,1.86,5.32,13.5003,9.79433,5.35,18.4934,15.4429,13.9553
39169,1417.23,1.87,5.32,15.2209,11.171,5.35,19.3521,16.3849,14.9383
39170,1422.53,1.86,5.32,15.498,11.1233,5.34938,19.4648,16.4647,14.9869
39171,1420.86,1.87,5.32,14.6688,10.6173,5.35,19.3153,16.325,14.8547
39174,1424.55,1.88,5.32,14.4605,10.3616,5.35,19.1684,16.1866,14.7265
39175,1437.77,1.86,5.32,12.6016,9.16901,5.35,18.588,15.6007,14.1286
39176,1439.37,1.86,5.32,11.7749,8.58263,5.35,18.6359,15.6627,14.1865
39177,1443.76,1.85,5.32,11.2865,8.47153,5.35,18.4357,15.4378,13.9695
39181,1444.61,1.85,5.32,11.6894,8.92252,5.35,18.4781,15.4909,14.0156
39182,1448.39,1.84,5.32,10.7992,8.46619,5.355,18.1437,15.1871,13.7235
39183,1438.87,1.85,5.32,11.6557,8.86975,5.355,18.6715,15.6992,14.2251
